Timecode List:,00:00:00.733,00:00:01.633,00:00:02.867,00:00:04.900,00:00:06.367,00:00:07.767,00:00:08.400,00:00:09.767,00:00:10.833,00:00:12.600,00:00:14.833,00:00:16.100
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,22,00:00:00.733,0.733,22,00:00:00.733,0.733
2,22,00:00:00.733,0.733,49,00:00:01.633,1.633,27,00:00:00.900,0.900
3,49,00:00:01.633,1.633,86,00:00:02.867,2.867,37,00:00:01.233,1.233
4,86,00:00:02.867,2.867,147,00:00:04.900,4.900,61,00:00:02.033,2.033
5,147,00:00:04.900,4.900,191,00:00:06.367,6.367,44,00:00:01.467,1.467
6,191,00:00:06.367,6.367,233,00:00:07.767,7.767,42,00:00:01.400,1.400
7,233,00:00:07.767,7.767,252,00:00:08.400,8.400,19,00:00:00.633,0.633
8,252,00:00:08.400,8.400,293,00:00:09.767,9.767,41,00:00:01.367,1.367
9,293,00:00:09.767,9.767,325,00:00:10.833,10.833,32,00:00:01.067,1.067
10,325,00:00:10.833,10.833,378,00:00:12.600,12.600,53,00:00:01.767,1.767
11,378,00:00:12.600,12.600,445,00:00:14.833,14.833,67,00:00:02.233,2.233
12,445,00:00:14.833,14.833,483,00:00:16.100,16.100,38,00:00:01.267,1.267
13,483,00:00:16.100,16.100,486,00:00:16.200,16.200,3,00:00:00.100,0.100
