Title,OrigYoutubeLnk,GroupName
"Honda Odyssey, CR-V & Fit Specials at Brandon Honda",https://www.youtube.com/watch?v=xhVCOdS9mXo,AD_01.mp4
TOD'S BAND - THE WAVE BAG,https://www.youtube.com/watch?v=lzOe1J8pZB8,AD_02.mp4
Big Sean x Finish Line | #EpicFinish,https://www.youtube.com/watch?v=w22oOw3RIAk,AD_03.mp4
PRIV. BlackBerry Secure Smartphone Powered by Android,https://www.youtube.com/watch?v=Lhozndg5VSE,AD_04.mp4
Dettol Antibacterial Original Bar Soap,https://www.youtube.com/watch?v=7GKuZu9xkj0,AD_05.mp4
"N°5, the Film with Brad Pitt: There You Are – CHANEL Fragrance",https://www.youtube.com/watch?v=mGs4CjeJiJQ,AD_06.mp4
Reebok Z Jet Running Shoes,https://www.youtube.com/watch?v=z1rCMzkbhmc,AD_07.mp4
Pillsbury Doughboy Commercial,https://www.youtube.com/watch?v=F-n-2itvI6M,AD_08.mp4
New Mentos Ad - Angry Chicken Dad #FarakPadega,https://www.youtube.com/watch?v=By0S8NpLPH4,AD_09.mp4
Love & Sockets: Frito-Lay Chips & Dips commercial,https://www.youtube.com/watch?v=OYolmh5LDbU,AD_10.mp4
Battle Camp: Level Up Your Monsters! iOS/Android/Kindle,https://www.youtube.com/watch?v=E1GrfYVfxpY,AD_11.mp4
Qixels New Official TV Commercial (Play Edit),https://www.youtube.com/watch?v=k7KgP_jPDwU,AD_12.mp4
Mazuma Mobile TV Advert | Sell Your Old Phone,https://www.youtube.com/watch?v=b_L3jgr97FM,AD_13.mp4
Official Juicy Fruit Commercial ft. Julianne Hough,https://www.youtube.com/watch?v=Dip_ThFvjKI,AD_14.mp4
Power of the Crunch,https://www.youtube.com/watch?v=7DZao4kN73M,AD_15.mp4
The Fruit Will Set You Free,https://www.youtube.com/watch?v=o6afGyzyrVE,AD_16.mp4
Deepika Padukone features in the new TV spot. #BendTheRules,https://www.youtube.com/watch?v=XoVVLtkDWq4,AD_17.mp4
NESTLÉ EVERYDAY – Tea’s Perfect Partner,https://www.youtube.com/watch?v=hFYCjZvv8y4,AD_18.mp4
Buying New & Pre-owned Clothing Online,https://www.youtube.com/watch?v=Yqz3eT_fzVY,AD_19.mp4
How to Flu-Proof Your Office,https://www.youtube.com/watch?v=YbKLOybMb30,AD_20.mp4
Stephen Curry Draft Report | Actions Speak Louder Than Words | CoachUp Presents,https://www.youtube.com/watch?v=WLb8AwuZ7N8,AD_21.mp4
Professional Basketball Player Kevin Love Rebounds with Chocolate Milk,https://www.youtube.com/watch?v=KTJ7BPvw-Co,AD_22.mp4
Introducing Nixie: the first wearable camera that can fly,https://www.youtube.com/watch?v=kfzqUsGMHE0,AD_23.mp4
Recently Liberated Car Dealership Tube Man ft. the Scion iA,https://www.youtube.com/watch?v=4Or2Tanfrtk,AD_24.mp4
"Aperture Investment Opportunity #2: ""Bot Trust""",https://www.youtube.com/watch?v=AZMSAzZ76EU,AD_25.mp4
Ravelco Driveway Commercial,https://www.youtube.com/watch?v=L3rl6rdgQJM,AD_26.mp4
Coca Cola - Brotherly Love | Coke / Avicii Hey Brother,https://www.youtube.com/watch?v=qdPXQLrueRg,AD_27.mp5
"2-Quart Ice Cream Maker, Waring Commercial",https://www.youtube.com/watch?v=wKIRw0wFPIg,"AD_28.mp4
"
Rav4 car commercial short video,https://www.youtube.com/watch?v=lwEyAW0ia5k,AD_29.mp4
JOY by Dior - THE NEW FRAGRANCE,https://www.youtube.com/watch?v=1CRihg1X89A,AD_30.mp4
